Team,Name,DT,PL_D10U5,PL_D5U2,PL_D2U1.5,PL_D1U1,PL_D0.5U0.5,PL_U0.5D0.5,PL_U1U0,PL_U2U1,PL_U5U2,PL_U10U5
ANG,ANG:912X:ANG:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-9,-22,-25,-14,-6,3,4,3,3,3
BKC,BRIJDAMANI:707X:BKC:2748,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-134,-43,-3,0,0,0,-1,-4,-46,-130
DEL,DELHI:913P:DEL:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-253,-158,-48,-29,-52,40,50,34,-15,-115
DEL,DELHIBSE:301X:DEL:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-1,-1,-1,0,1,1,1,9,1,1
DIO,DINESHVYAS:909X:DIO:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-245,-68,-5,-1,0,0,-1,-7,-85,-269
GQC,GQC1:1444:GQC:3595,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-32,-15,-5,-2,-1,0,-1,-4,-12,-26
GQC,GQC1:1444:GQC:3600,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-32,-15,-5,-2,-1,0,-1,-4,-12,-26
GQC,GQC1:1444:GQC:3601,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-47,-22,-7,-3,-1,0,-2,-6,-19,-40
GQC,GQC1:1444:GQC:3607,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-32,-15,-5,-2,-1,0,-1,-4,-12,-26
GQC,GQC1:1444:GQC:3610,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-83,-40,-13,-5,-2,-1,-4,-11,-34,-72
GQC,GQC1:1444:GQC:3615,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-32,-15,-5,-2,-1,0,-1,-4,-12,-26
GQC,GQC1:1444:GQC:3616,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-56,-26,-9,-3,-1,-1,-3,-8,-23,-49
GQC,GQC1:1444:GQC:3617,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-56,-26,-9,-3,-1,-1,-3,-8,-23,-49
GQC,GQC1:1444:GQC:3619,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-47,-22,-7,-3,-1,0,-2,-6,-19,-40
GQC,GQC1:1444:GQC:3620,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-56,-26,-9,-3,-1,-1,-3,-8,-23,-49
GQC,GQC2:1344:GQC:3595,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-33,-16,-5,-2,-1,0,-1,-3,-10,-21
GQC,GQC2:1344:GQC:3600,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-33,-16,-5,-2,-1,0,-1,-3,-10,-21
GQC,GQC2:1344:GQC:3601,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-48,-23,-8,-3,-1,0,-2,-5,-15,-32
GQC,GQC2:1344:GQC:3607,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-33,-16,-5,-2,-1,0,-1,-3,-10,-21
GQC,GQC2:1344:GQC:3610,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-77,-37,-13,-5,-2,0,-2,-7,-22,-47
GQC,GQC2:1344:GQC:3615,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-33,-16,-5,-2,-1,0,-1,-3,-10,-21
GQC,GQC2:1344:GQC:3616,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-59,-28,-10,-4,-1,0,-2,-6,-20,-42
GQC,GQC2:1344:GQC:3617,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-59,-28,-10,-4,-1,0,-2,-6,-20,-42
GQC,GQC2:1344:GQC:3619,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-48,-23,-8,-3,-1,0,-2,-5,-15,-32
GQC,GQC2:1344:GQC:3620,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-59,-28,-10,-4,-1,0,-2,-6,-20,-42
GQO,GQO1:1144:GQO:3596,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-146,-64,-16,-4,-1,-1,-6,-20,-69,-151
GQO,GQO2:1442:GQO:2051,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-228,-109,-37,-14,-4,-7,-19,-48,-133,-275
GQO,GQO3:1443:GQO:2660,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-379,-177,-57,-21,-7,0,-6,-26,-92,-203
GQO,GQO4:1041:GQO:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-303,-141,-45,-14,-3,-8,-26,-68,-194,-404
GQO,GQO5:1141:GQO:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-302,-141,-44,-14,-3,-8,-26,-68,-194,-404
GQO,GQO6:1342:GQO:6760,27-Mar-2024 11:40:42_PVS Date :2024-03-26 00:00:00,-228,-109,-37,-14,-4,-7,-19,-48,-133,-275
